2011-09-28	3	$14459.85	[]
2011-09-29	4	$14459.85	[]
2011-09-30	5	$14575.38	[['LAYN', 0.01155]]
2011-10-01	6	$14575.38	[]
2011-10-02	7	$14575.38	[]
2011-10-03	1	$14575.38	[]
2011-10-04	2	$13440.34	[['AMZN', -0.01374], ['AVB', -0.06938], ['SVNT', -0.03039]]
2011-10-05	3	$13440.34	[]
2011-10-06	4	$13440.34	[]
2011-10-07	5	$13440.34	[]
2011-10-08	6	$13440.34	[]
2011-10-09	7	$13440.34	[]
2011-10-10	1	$13440.34	[]
2011-10-11	2	$13440.34	[]
2011-10-12	3	$13440.34	[]
2011-10-13	4	$13402.89	[['CRR', -0.01169], ['WTI', 0.00795]]
2011-10-14	5	$13402.89	[]
2011-10-15	6	$13402.89	[]
2011-10-16	7	$13402.89	[]
2011-10-17	1	$13402.89	[]
2011-10-18	2	$13402.89	[]
2011-10-19	3	$13402.89	[]
2011-10-20	4	$13771.39	[['EDU', 0.02554], ['INTC', 0.01131]]
2011-10-21	5	$13771.39	[]
2011-10-22	6	$13771.39	[]
2011-10-23	7	$13771.39	[]
2011-10-24	1	$13771.39	[]
2011-10-25	2	$13771.39	[]
2011-10-26	3	$13771.39	[]
2011-10-27	4	$13771.39	[]
2011-10-28	5	$13771.39	[]
2011-10-29	6	$13771.39	[]
2011-10-30	7	$13771.39	[]
2011-10-31	1	$13771.39	[]
2011-11-01	2	$13923.88	[['BRCM', 0.01597], ['JNPR', 0.00767], ['MMC', -0.00303], ['NBR', 0.01275], ['OCR', -0.00722], ['RES', -0.00842], ['SDT', -0.02138], ['WY', 0.0189]]
2011-11-02	3	$13923.88	[]
2011-11-03	4	$13923.88	[]
2011-11-04	5	$13044.55	[['MDVN', -0.07438], ['OPEN', -0.01355]]
2011-11-05	6	$13044.55	[]
2011-11-06	7	$13044.55	[]
2011-11-07	1	$13044.55	[]
2011-11-08	2	$13044.55	[]
2011-11-09	3	$13586.6	[['CBL', 0.03439], ['CUTR', 0.00667], ['KRC', 0.01362], ['RAX', -0.00047]]
2011-11-10	4	$13586.6	[]
2011-11-11	5	$13586.6	[]
2011-11-12	6	$13586.6	[]
2011-11-13	7	$13586.6	[]
2011-11-14	1	$13586.6	[]
2011-11-15	2	$13625.72	[['OYOG', 0.00391]]
